,,,,,Totals,,,,,,,,,Shooting,,,,Advanced,,
Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PER,WS,BPM
1,Amaree Abram,SO,G,Georgia Tech,10,108,17,11,1,2,9,10,34,0.262,0.318,0.2,0.615,4.1,-0.1,-6.4
2,Sola Adebisi,FR,F,Florida State,7,9,1,1,0,0,1,1,2,0.5,0.5,,,3.5,0,-6.7
3,Prince Aligbe,SO,F,Boston College,35,651,119,21,15,4,30,51,164,0.435,0.522,0.147,0.62,9.4,0.9,-1.3
4,Abe Atiyeh,SR,G,Boston College,4,6,0,0,0,0,1,0,3,0.333,0,1,,1.1,0,-8.2
5,Zack Austin,JR,F,Pittsburgh,33,746,137,29,32,44,13,35,216,0.417,0.563,0.295,0.737,18,2.9,7.9
6,Armando Bacot,SR,F,North Carolina,37,1123,380,56,22,56,60,100,538,0.54,0.544,0.4,0.781,24.6,6.1,8.9
7,Joshua Beadle,SO,G,Clemson,32,347,30,26,6,1,20,32,95,0.473,0.604,0.143,0.688,8.8,0.5,-1
8,Reece Beekman,SR,G,Virginia,34,1114,124,212,68,17,70,43,486,0.443,0.487,0.31,0.754,23.4,4.9,10.5
9,Neal Begovich,SR,F,Duke,8,17,4,0,0,0,0,0,2,0,0,0,1,1.3,0,-9.9
10,Chris Bell,SO,F,Syracuse,32,865,75,21,18,22,26,58,384,0.434,0.459,0.42,0.842,14.9,2.2,3.3
11,Robbie Beran,SR,F,Virginia Tech,34,758,133,38,20,30,35,98,191,0.442,0.571,0.316,0.8,11.5,1.8,3
12,Jaylen Blakes,JR,G,Duke,31,285,26,13,21,5,8,32,57,0.4,0.5,0.263,0.941,11.6,0.9,5
13,Leon Bond III,FR,G,Virginia,24,296,68,15,13,5,9,20,98,0.458,0.457,0.5,0.643,18.3,1,2.4
14,Carey Booth,FR,F,Notre Dame,33,656,142,15,7,21,25,42,211,0.391,0.541,0.297,0.634,12.9,1.5,2
15,Taylor Bol Bowen,FR,F,Florida State,31,338,82,8,18,15,20,41,97,0.463,0.638,0.212,0.667,14.6,0.8,1.9
16,Raheem Braiton,SR,G,Notre Dame,6,17,2,2,0,0,2,3,0,0,0,0,,-15.8,-0.1,-20.4
17,Maliq Brown,SO,F,Syracuse,32,948,230,59,71,29,41,97,305,0.698,0.736,0.368,0.721,22,4.3,7.4
18,Michael Brown,JR,F,Florida State,2,3,0,0,0,0,0,0,1,0,,0,0.5,-4.2,0,-17.8
19,Blake Buchanan,FR,F,Virginia,34,511,107,12,14,30,15,62,115,0.414,0.414,,0.5,12.5,1.3,-1.2
20,D.J. Burns Jr.,SR,F,NC State,41,1020,164,117,18,26,76,100,529,0.531,0.535,0.2,0.68,20.9,3.3,5.7
21,Markus Burton,FR,G,Notre Dame,33,1114,110,143,63,7,123,95,577,0.421,0.468,0.3,0.821,18.2,2.9,4
22,Elliot Cadeau,FR,G,North Carolina,37,882,81,150,29,4,67,84,271,0.417,0.481,0.189,0.648,11.7,2.1,1.8
23,John Camden,SO,F,Virginia Tech,14,63,14,2,1,0,6,5,26,0.368,0,0.467,0.714,12.6,0.1,2.1
24,Abramo Canka,SO,G,Wake Forest,15,49,4,1,0,0,3,4,7,0.273,0.333,0.2,,-1.1,-0.1,-8.2
25,Peter Carey,SO,C,Syracuse,14,70,12,1,3,2,0,18,9,0.286,0.286,,0.5,3.6,0.1,-5.7
26,Andrew Carr,SR,F,Wake Forest,35,1138,239,51,16,52,43,91,471,0.526,0.595,0.371,0.781,20.8,5.2,6.7
27,Carlton Carrington,FR,G,Pittsburgh,33,1096,171,136,19,8,64,78,456,0.412,0.511,0.322,0.785,16.3,3.6,3.9
28,AJ Casey,SO,F,Miami (FL),24,228,48,8,3,6,5,13,46,0.391,0.529,0,0.588,10.1,0.4,-1.5
29,Nick Cassano,FR,G,Miami (FL),2,3,0,0,0,0,0,0,0,,,,,0,0,-7.5
30,Hunter Cattoor,SR,G,Virginia Tech,33,1094,91,64,31,5,38,69,447,0.449,0.542,0.405,0.893,16.4,4,5.9
31,Aaron Clark,FR,G,Wake Forest,7,32,1,1,4,2,1,6,0,0,0,0,,-4,-0.1,-6.7
32,Jack Clark,SR,G,Clemson,25,588,122,35,20,13,14,40,118,0.398,0.5,0.302,0.769,13,1.7,6.7
33,Skyy Clark,SO,G,Louisville,29,923,89,87,30,4,88,71,384,0.412,0.457,0.353,0.776,12.5,0.9,-0.7
34,Tyzhaun Claude,SR,F,Georgia Tech,32,557,165,22,9,14,25,65,152,0.495,0.521,0.143,0.662,16.2,1.6,1.8
35,Anthony Clayton,JR,G,Syracuse,2,4,0,0,0,0,0,0,0,0,0,0,,-41.9,-0.1,-22.9
36,Matthew Cleveland,JR,G,Miami (FL),29,963,177,48,39,11,55,37,396,0.489,0.537,0.357,0.795,17.7,2.8,3.5
37,Dallan Coleman,JR,G,Georgia Tech,28,522,68,18,14,6,10,43,166,0.403,0.52,0.34,0.6,12.6,1.2,2.2
38,MJ Collins,SO,G,Virginia Tech,32,945,89,87,30,4,39,39,238,0.343,0.39,0.28,0.844,9.2,1.3,0.6
39,Quadir Copeland,SO,G,Syracuse,32,716,148,89,47,6,64,75,307,0.478,0.533,0.25,0.683,19.1,2.2,3.3
40,Cameron Corhen,SO,F,Florida State,28,597,110,16,23,10,25,59,263,0.629,0.636,0,0.672,20.8,2.3,4.4
41,Thomas Crowe,JR,F,Notre Dame,6,11,1,0,0,0,0,1,3,0.333,0,1,,6.6,0,-4.9
42,Kyle Cuffe Jr.,FR,G,Syracuse,29,312,30,15,14,6,16,43,92,0.407,0.487,0.34,0.462,9.2,0.4,-1.3
43,RJ Davis,SR,G,North Carolina,37,1287,134,129,45,8,55,65,784,0.428,0.455,0.398,0.873,22.7,6.7,10.8
44,Tae Davis,SO,F,Notre Dame,32,833,163,33,18,11,48,78,294,0.484,0.549,0.184,0.723,15.6,2.4,1.5
45,Mohamed Diarra,SR,F,NC State,40,882,311,24,28,41,26,66,253,0.477,0.568,0.309,0.658,18.9,3.4,6.2
46,Guillermo Diaz Graham,SO,F,Pittsburgh,33,590,130,36,27,28,33,84,221,0.491,0.573,0.405,0.596,19.9,2.5,6.8
47,Jorge Diaz Graham,SO,F,Pittsburgh,16,168,40,12,7,5,11,14,56,0.364,0.538,0.29,0.789,17.3,0.6,3.9
48,Jack DiDonna,FR,G,Boston College,1,1,0,0,0,0,0,0,0,,,,,0,0,-7
49,Paul Djobet,FR,G,Miami (FL),16,163,25,7,4,2,6,10,39,0.419,0.429,0.412,0.545,10.9,0.3,0.6
50,Ebenezer Dowuona,SR,F,Georgia Tech,18,173,25,2,1,5,8,23,18,0.429,0.429,,0,3.4,0,-4.1
51,Kevin Dunn,JR,G,Wake Forest,4,3,1,0,0,0,0,1,2,0.5,1,0,,18.4,0,-12.8
52,Ryan Dunn,SO,G,Virginia,34,935,235,26,44,77,28,70,276,0.548,0.618,0.2,0.532,22,4.2,7.2
53,Dennis Evans,FR,C,Louisville,7,64,6,0,0,5,0,9,11,0.625,0.625,,0.5,10.3,0.1,-0.9
54,Duwe Farris,SR,F,North Carolina,8,14,2,1,0,0,0,0,2,0.25,0.25,,,4.4,0,-1.5
55,Federiko Federiko,JR,C,Pittsburgh,33,704,170,33,17,43,29,87,156,0.637,0.637,,0.413,16.1,2.4,3.2
56,Kyle Filipowski,SO,C,Duke,36,1095,298,100,41,54,76,109,591,0.505,0.559,0.348,0.671,26,6,11.1
57,Cam'Ron Fletcher,SR,F,Florida State,7,111,35,7,8,4,12,12,47,0.388,0.438,0.294,0.571,15.7,0.1,0.8
58,Caleb Foster,FR,G,Duke,27,685,65,58,16,2,29,53,207,0.437,0.459,0.406,0.688,11.7,2,2.7
59,Parker Friedrichsen,FR,G,Wake Forest,35,628,46,21,23,2,9,34,177,0.396,0.75,0.365,0.692,11.7,1.7,4.6
60,Jaylan Gainey,SR,F,Florida State,28,298,56,3,8,20,15,26,77,0.627,0.627,,0.464,13.5,0.6,2
61,Tafara Gapare,SO,F,Georgia Tech,29,527,101,24,10,33,27,54,148,0.347,0.462,0.169,0.68,10.4,0.5,-0.1
62,Kyshawn George,FR,G,Miami (FL),31,713,94,67,27,11,48,55,236,0.426,0.467,0.408,0.778,13.7,1.7,3.6
63,Naithan George,FR,G,Georgia Tech,29,863,69,135,10,3,60,47,285,0.421,0.5,0.314,0.69,12.4,1.4,0.3
64,Elijah Gertrude,FR,G,Virginia,16,150,19,6,11,7,10,17,54,0.362,0.465,0.067,0.611,11.1,0.1,0
65,Joseph Girard III,SR,G,Clemson,36,1182,115,105,22,4,55,51,544,0.43,0.463,0.413,0.935,18.5,4.6,6.9
66,Kaleb Glenn,FR,F,Louisville,32,481,114,7,12,5,22,61,125,0.486,0.521,0.111,0.647,10.9,0.6,-1.9
67,RJ Godfrey,SO,F,Clemson,36,557,121,28,17,22,33,80,219,0.594,0.601,0.429,0.627,18.5,2,4.2
68,Darin Green Jr.,SR,G,Florida State,32,960,97,32,45,3,35,63,363,0.406,0.452,0.38,0.714,12.8,2,3
69,De'Ante Green,SO,F,Florida State,31,369,54,12,5,9,24,62,140,0.51,0.58,0.176,0.698,12.8,0.8,-0.8
70,Jacob Groves,SR,G,Virginia,34,690,96,21,17,7,12,68,250,0.45,0.441,0.459,0.621,15.9,2.5,4.1
71,PJ Hall,SR,F,Clemson,36,1040,231,51,28,51,67,113,659,0.488,0.575,0.315,0.779,25.6,4.8,8.4
72,Donald Hand Jr.,FR,G,Boston College,34,490,65,11,11,6,13,34,171,0.357,0.369,0.342,0.773,11.1,0.9,-1.3
73,Zane Harbaugh,SO,F,Notre Dame,2,5,2,1,0,0,0,0,0,0,,0,,11.6,0,-0.5
74,Claudell Harris Jr.,JR,G,Boston College,35,1101,128,72,29,2,40,45,478,0.403,0.448,0.37,0.712,15.3,2.8,3.3
75,Dante Harris,JR,G,Virginia,24,329,49,33,17,5,17,27,59,0.28,0.339,0.1,0.5,6.7,0.2,-1.9
76,Thomas Hattan,SO,G,Notre Dame,4,6,2,0,0,0,1,0,3,0.333,0,0.5,,12.2,0,-9.3
77,Alex Hemenway,SR,G,Clemson,5,78,3,7,2,1,4,5,26,0.381,0,0.421,0.5,11.4,0.2,2.1
78,Zayden High,FR,F,North Carolina,23,103,26,3,5,3,9,23,18,0.316,0.545,0,0.667,5.2,0.1,-2.9
79,Cameron Hildreth,JR,G,Wake Forest,35,1195,164,84,35,6,72,87,483,0.454,0.502,0.351,0.804,15.3,3.6,3
80,Mounir Hima,JR,C,Syracuse,13,43,6,1,0,3,1,7,4,0.667,0.667,,,6.6,0.1,-1
81,Blake Hinson,SR,G,Pittsburgh,33,1109,146,26,18,5,42,72,609,0.454,0.5,0.421,0.669,19.5,4.5,5.8
82,DJ Horne,SR,G,NC State,40,1304,138,84,51,5,54,80,677,0.436,0.464,0.404,0.814,19.3,4.6,6.5
83,Tom House,SO,G,Florida State,23,84,9,6,2,1,6,9,33,0.455,0.4,0.471,0.5,13.8,0.2,1.1
84,Tristan How,SR,F,Virginia,9,17,2,1,0,0,0,1,6,0.5,0.6,0,0,13.7,0,-4.7
85,Spencer Hubbard,SR,G,Duke,10,22,3,2,0,0,1,8,6,0.333,0.5,0.25,0.5,1.6,0,-11.8
86,Michael Hueitt Jr.,SR,G,Pittsburgh,5,39,3,0,2,0,0,5,16,0.7,1,0.4,0,18.5,0.2,3.1
87,Chase Hunter,SR,G,Clemson,36,1182,94,116,26,12,64,64,463,0.424,0.5,0.311,0.85,14.5,3,3.1
88,Dillon Hunter,SO,G,Clemson,36,530,58,46,15,2,14,42,83,0.393,0.49,0.257,0.421,7.6,0.8,0.7
89,Brandon Huntley-Hatfield,JR,F,Louisville,32,985,269,33,19,26,54,75,413,0.567,0.578,0.429,0.672,20.3,3.1,3.1
90,Logan Imes,FR,G,Notre Dame,31,546,77,34,12,3,24,36,62,0.303,0.4,0.222,0.824,5.1,0.5,-2.1
91,Harrison Ingram,SO,F,North Carolina,37,1213,327,80,51,15,51,71,451,0.43,0.467,0.385,0.612,18.3,4.9,8.5
92,Asher Jackson,FR,G,Boston College,1,1,0,0,0,0,1,0,0,0,,0,,-105.8,0,-81.8
93,Chandler Jackson,SO,G,Florida State,31,454,42,33,24,5,12,45,153,0.446,0.517,0.293,0.806,14.5,1.2,3.6
94,Michael James,SO,G,Louisville,32,1064,159,47,19,6,57,79,402,0.396,0.426,0.34,0.818,12.8,1.8,-0.1
95,William Jeffress,JR,G,Pittsburgh,31,336,60,7,17,6,8,35,49,0.353,0.412,0.235,0.643,9.2,0.7,0.7
96,Ty-Laur Johnson,FR,G,Louisville,30,694,53,109,41,8,70,86,261,0.374,0.447,0.194,0.824,13.6,0.9,-0.7
97,Jesse Jones,SO,G,Florida State,3,3,1,0,0,0,0,0,0,,,,,5.2,0,-3.5
98,Bensley Joseph,JR,G,Miami (FL),32,1007,109,110,48,22,69,73,307,0.408,0.459,0.364,0.78,13,2.1,2.9
99,Danilo Jovanovich,SO,F,Louisville,20,165,22,5,2,2,4,12,24,0.36,0.474,0,0.857,6.6,0.1,-1.9
100,KJ Keatts,SO,G,NC State,6,8,1,0,0,0,1,1,0,,,,,-7.6,0,-12.1
101,Zach Keller,SO,F,Wake Forest,27,298,54,4,9,10,11,39,43,0.348,0.409,0.292,0.364,6.2,0.4,-0.5
102,Chas Kelley III,SO,G,Boston College,27,419,37,43,16,2,40,41,99,0.354,0.477,0.25,0.643,5.9,0,-3.5
103,JT Kelly,SO,G,Notre Dame,6,7,2,0,0,0,0,1,3,0.5,,0.5,,23.7,0,14
104,Matt Kelly,JR,G,Clemson,5,9,0,0,1,0,1,0,0,0,0,,,-4.9,0,-7.8
105,Miles Kelly,JR,G,Georgia Tech,32,1018,175,59,25,8,63,78,446,0.369,0.424,0.321,0.733,13.3,1.7,1.4
106,Lynn Kidd,SR,C,Virginia Tech,33,768,216,36,17,14,43,67,434,0.668,0.668,,0.842,27.6,4.3,9
107,Owen Kmety,SO,F,Wake Forest,4,3,1,1,0,1,1,0,0,,,,,12.8,0,14.4
